id,name,localId,rarity,supertype,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_updated,tp_unit,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_reverse_productId,tp_reverse_lowPrice,tp_reverse_midPrice,tp_reverse_highPrice,tp_reverse_marketPrice,tp_reverse_directLowPrice
swsh3-101,Muk,101,Rare,,2026-07-06T18:05:01.132Z,EUR,483384,0.18,0.02,0.18,0.2,0.19,0.18,0.7,0.15,0.7,1.0,0.57,0.6,2026-07-06T18:05:00.769Z,USD,219402.0,0.05,0.22,19.92,0.09,,219402.0,0.2,0.5,19.98,0.51,
swsh3-102,Spinarak,102,Common,,2026-07-06T18:05:01.145Z,EUR,483389,0.04,0.02,0.05,0.06,0.05,0.03,0.32,0.02,0.31,0.25,0.23,0.22,2026-07-06T18:05:00.769Z,USD,219404.0,0.01,0.15,25.04,0.03,0.01,219404.0,0.05,0.25,19.98,0.21,0.13
swsh3-103,Ariados,103,Uncommon,,2026-07-06T18:05:01.145Z,EUR,483394,0.06,0.02,0.05,0.02,0.05,0.05,0.19,0.02,0.22,0.25,0.14,0.21,2026-07-06T18:05:00.769Z,USD,219405.0,0.01,0.16,25.06,0.06,0.06,219405.0,0.06,0.25,19.98,0.21,0.1
swsh3-104,Crobat V,104,Holo Rare V,,2026-07-06T18:05:01.132Z,EUR,483399,1.23,0.29,1.22,1.22,1.33,1.2,,,4.74,5.0,5.94,5.77,2026-07-06T18:05:00.769Z,USD,,,,,,,,,,,,
swsh3-105,Darkrai,105,Holo Rare,,2026-07-06T18:05:01.132Z,EUR,483404,1.19,0.1,1.29,2.29,1.58,1.27,1.22,0.4,1.16,1.65,1.22,1.34,2026-07-06T18:05:00.769Z,USD,,,,,,,219409.0,0.2,0.6,19.98,0.6,0.6
swsh3-106,Purrloin,106,Common,,2026-07-06T18:05:01.132Z,EUR,483409,0.05,0.02,0.06,0.04,0.05,0.05,0.33,0.02,0.35,0.24,0.34,0.26,2026-07-06T18:05:00.769Z,USD,219412.0,0.01,0.15,25.06,0.07,0.06,219412.0,0.04,0.35,18.48,0.38,0.19
swsh3-107,Liepard,107,Rare,,2026-07-06T18:05:01.132Z,EUR,483414,0.16,0.02,0.14,0.25,0.17,0.16,0.86,0.05,0.78,0.95,0.81,0.68,2026-07-06T18:05:00.769Z,USD,219414.0,0.05,0.23,19.98,0.17,0.18,219414.0,0.2,0.39,19.98,0.37,
swsh3-108,Deino,108,Common,,2026-07-06T18:05:01.132Z,EUR,483419,0.05,0.02,0.05,0.02,0.05,0.03,0.28,0.02,0.26,0.4,0.34,0.28,2026-07-06T18:05:00.769Z,USD,219420.0,0.01,0.15,19.98,0.06,0.01,219420.0,0.05,0.25,19.98,0.09,0.2
swsh3-109,Zweilous,109,Uncommon,,2026-07-06T18:05:01.145Z,EUR,483424,0.06,0.02,0.06,0.09,0.05,0.04,0.34,0.02,0.36,0.4,0.37,0.28,2026-07-06T18:05:00.769Z,USD,219422.0,0.01,0.16,19.98,0.05,0.02,219422.0,0.08,0.25,19.98,0.2,0.15
swsh3-110,Hydreigon,110,Rare,,2026-07-06T18:05:01.132Z,EUR,483429,0.24,0.02,0.23,0.02,0.2,0.21,1.2,0.09,0.94,0.95,0.84,0.81,2026-07-06T18:05:00.769Z,USD,219423.0,0.06,0.25,5.09,0.13,0.14,219423.0,0.25,0.46,9.99,0.43,0.48
swsh3-111,Hoopa,111,Holo Rare,,2026-07-06T18:05:01.132Z,EUR,483434,0.48,0.02,0.46,0.15,0.42,0.44,1.13,0.05,0.96,0.15,0.89,1.04,2026-07-06T18:05:00.769Z,USD,,,,,,,219424.0,0.13,0.41,19.98,0.45,
swsh3-112,Nickit,112,Common,,2026-07-06T18:05:01.132Z,EUR,483439,0.05,0.02,0.04,0.02,0.04,0.04,0.27,0.03,0.29,0.1,0.29,0.27,2026-07-06T18:05:00.769Z,USD,219426.0,0.01,0.15,25.04,0.05,0.04,219426.0,0.08,0.29,19.98,0.29,0.1
swsh3-113,Thievul,113,Rare,,2026-07-06T18:05:01.132Z,EUR,483444,0.16,0.02,0.13,0.05,0.08,0.16,0.66,0.1,0.64,0.1,0.52,0.64,2026-07-06T18:05:00.769Z,USD,219427.0,0.05,0.24,19.98,0.22,0.1,219427.0,0.05,0.37,19.48,0.35,0.05
swsh3-114,Grimmsnarl V,114,Holo Rare V,,2026-07-06T18:05:01.132Z,EUR,483449,1.18,0.25,1.14,0.99,1.19,1.16,,,1.21,0.67,1.15,1.67,2026-07-06T18:05:00.769Z,USD,,,,,,,,,,,,
swsh3-115,Grimmsnarl VMAX,115,Holo Rare VMAX,,2026-07-06T18:05:01.145Z,EUR,483454,2.23,1.0,2.0,2.39,2.21,2.25,,,5.96,5.0,7.49,6.89,2026-07-06T18:05:00.769Z,USD,,,,,,,,,,,,
swsh3-116,Eternatus V,116,Holo Rare V,,2026-07-06T18:05:01.132Z,EUR,483459,1.86,0.3,1.5,2.0,1.41,1.75,,,2.72,2.86,2.7,2.95,2026-07-06T18:05:00.769Z,USD,,,,,,,,,,,,
swsh3-117,Eternatus VMAX,117,Holo Rare VMAX,,2026-07-06T18:05:01.132Z,EUR,483464,3.4,0.2,3.81,6.0,3.4,3.42,,,7.25,8.98,8.43,8.9,2026-07-06T18:05:00.769Z,USD,,,,,,,,,,,,
swsh3-118,Scizor V,118,Holo Rare V,,2026-07-06T18:05:01.132Z,EUR,483469,2.04,0.45,1.86,1.73,1.82,1.96,,,2.02,3.42,2.02,2.25,2026-07-06T18:05:00.769Z,USD,,,,,,,,,,,,
swsh3-119,Scizor VMAX,119,Holo Rare VMAX,,2026-07-06T18:05:01.132Z,EUR,483474,3.88,1.0,3.85,4.26,3.77,3.78,,,6.96,6.0,7.04,7.73,2026-07-06T18:05:00.769Z,USD,,,,,,,,,,,,
swsh3-120,Skarmory,120,Common,,2026-07-06T18:05:01.132Z,EUR,483479,0.06,0.02,0.05,0.1,0.04,0.04,0.24,0.02,0.25,0.1,0.3,0.25,2026-07-06T18:05:00.769Z,USD,219376.0,0.01,0.15,25.04,0.02,0.01,219376.0,0.07,0.32,17.2,0.33,0.1
swsh3-121,Aron,121,Common,,2026-07-06T18:05:01.145Z,EUR,483484,0.06,0.02,0.05,0.06,0.04,0.04,0.26,0.02,0.26,0.19,0.21,0.27,2026-07-06T18:05:00.769Z,USD,219378.0,0.01,0.17,25.1,0.08,0.08,219378.0,0.09,0.29,19.98,0.28,
swsh3-122,Lairon,122,Uncommon,,2026-07-06T18:05:01.145Z,EUR,483489,0.06,0.02,0.05,0.06,0.04,0.05,0.3,0.02,0.36,0.28,0.31,0.27,2026-07-06T18:05:00.769Z,USD,219380.0,0.01,0.17,25.12,0.08,0.06,219380.0,0.06,0.29,19.98,0.29,
swsh3-123,Aggron,123,Holo Rare,,2026-07-06T18:05:01.132Z,EUR,483494,0.55,0.05,0.5,0.95,0.47,0.54,1.28,0.1,1.15,0.49,1.12,0.97,2026-07-06T18:05:00.769Z,USD,,,,,,,219381.0,0.22,0.6,19.84,0.57,0.75
swsh3-124,Escavalier,124,Rare,,2026-07-06T18:05:01.145Z,EUR,483499,0.15,0.02,0.15,0.09,0.1,0.19,0.7,0.05,0.7,0.94,0.61,0.55,2026-07-06T18:05:00.769Z,USD,219383.0,0.01,0.2,19.98,0.02,,219383.0,0.06,0.36,19.98,0.36,0.23
swsh3-125,Klink,125,Common,,2026-07-06T18:05:01.145Z,EUR,483504,0.03,0.02,0.03,0.02,0.04,0.03,0.23,0.02,0.21,0.14,0.2,0.21,2026-07-06T18:05:00.769Z,USD,219385.0,0.01,0.15,25.06,0.05,0.01,219385.0,0.03,0.24,19.98,0.07,
swsh3-126,Klang,126,Uncommon,,2026-07-06T18:05:01.132Z,EUR,483509,0.03,0.02,0.03,0.02,0.04,0.03,0.42,0.03,0.36,0.13,0.34,0.26,2026-07-06T18:05:00.769Z,USD,219386.0,0.01,0.15,25.03,0.03,,219386.0,0.06,0.26,19.98,0.26,
swsh3-127,Klinklang,127,Rare,,2026-07-06T18:05:01.145Z,EUR,483514,0.28,0.02,0.27,0.1,0.19,0.22,0.82,0.15,0.68,0.45,0.69,0.55,2026-07-06T18:05:00.769Z,USD,219388.0,0.05,0.21,19.98,0.15,0.05,219388.0,0.17,0.36,19.98,0.34,
swsh3-128,Galarian Stunfisk V,128,Holo Rare V,,2026-07-06T18:05:01.145Z,EUR,483519,0.95,0.3,0.92,1.25,1.09,0.98,,,1.24,1.16,1.34,1.37,2026-07-06T18:05:00.769Z,USD,,,,,,,,,,,,
swsh3-129,Meltan,129,Common,,2026-07-06T18:05:01.145Z,EUR,483524,0.05,0.02,0.04,0.03,0.03,0.03,0.27,0.02,0.28,0.19,0.31,0.23,2026-07-06T18:05:00.769Z,USD,219391.0,0.01,0.15,25.08,0.09,,219391.0,0.06,0.25,19.98,0.25,
swsh3-130,Melmetal,130,Rare,,2026-07-06T18:05:01.132Z,EUR,483529,0.19,0.02,0.22,0.05,0.14,0.17,0.81,0.15,0.66,0.05,0.81,0.66,2026-07-06T18:05:00.769Z,USD,219392.0,0.05,0.22,19.98,0.13,,219392.0,0.2,0.4,19.98,0.39,
