id,name,localId,rarity,supertype,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_updated,tp_unit,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_reverse_holofoil_directLowPrice,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice,tp_holofoil_directLowPrice
me04-063,Ferrothorn,063,Uncommon,,2026-07-07T18:05:09.041Z,EUR,886455,0.03,0.02,0.02,0.03,0.03,0.03,0.08,0.02,0.08,0.09,0.08,0.08,2026-07-07T18:05:06.951Z,USD,693486.0,0.01,0.22,1.81,0.19,0.06,693486.0,0.01,0.15,1.81,0.08,0.01,,,,,,
me04-064,Cobalion ex,064,Double rare,,2026-07-07T18:05:09.041Z,EUR,886456,0.37,0.02,0.35,0.28,0.37,0.37,,,0.0,,,,2026-07-07T18:05:06.951Z,USD,,,,,,,,,,,,,693468.0,0.1,0.57,4321.0,0.53,1.24
me04-065,Mega Dragalge ex,065,Double rare,,2026-07-07T18:05:09.041Z,EUR,886457,0.53,0.08,0.49,0.44,0.49,0.53,,,0.0,,,,2026-07-07T18:05:06.951Z,USD,,,,,,,,,,,,,693508.0,0.01,0.75,4321.0,0.54,0.28
me04-066,Goomy,066,Common,,2026-07-07T18:05:09.149Z,EUR,886458,0.04,0.02,0.03,0.11,0.03,0.03,0.08,0.02,0.07,0.11,0.07,0.06,2026-07-07T18:05:06.951Z,USD,693496.0,0.01,0.22,2.99,0.22,0.04,693496.0,0.01,0.15,2.99,0.12,0.01,,,,,,
me04-067,Sliggoo,067,Common,,2026-07-07T18:05:09.149Z,EUR,886459,0.04,0.02,0.03,0.03,0.03,0.03,0.1,0.02,0.08,0.11,0.07,0.08,2026-07-07T18:05:06.951Z,USD,693545.0,0.01,0.24,2.99,0.23,0.24,693545.0,0.01,0.15,2.99,0.11,0.01,,,,,,
me04-068,Goodra,068,Rare,,2026-07-07T18:05:09.041Z,EUR,888530,1.56,0.09,1.4,1.0,1.59,1.55,,,0.0,,,,2026-07-07T18:05:06.951Z,USD,693495.0,0.01,0.24,3.5,0.25,0.08,,,,,,,693495.0,0.01,0.18,2.99,0.13,0.01
me04-069,Tauros,069,Uncommon,,2026-07-07T18:05:09.041Z,EUR,886461,0.03,0.02,0.02,0.02,0.02,0.03,0.09,0.02,0.08,0.09,0.1,0.09,2026-07-07T18:05:06.951Z,USD,693552.0,0.01,0.24,2.99,0.24,0.08,693552.0,0.01,0.15,1.61,0.14,0.01,,,,,,
me04-070,Patrat,070,Common,,2026-07-07T18:05:09.149Z,EUR,886462,0.04,0.02,0.03,0.02,0.03,0.03,0.08,0.02,0.11,0.21,0.11,0.08,2026-07-07T18:05:06.951Z,USD,693529.0,0.01,0.22,2.0,0.19,0.05,693529.0,0.01,0.15,2.99,0.09,0.01,,,,,,
me04-071,Watchog,071,Common,,2026-07-07T18:05:10.032Z,EUR,886463,0.03,0.02,0.02,0.03,0.02,0.03,0.09,0.02,0.06,0.1,0.08,0.08,2026-07-07T18:05:06.951Z,USD,693559.0,0.01,0.21,2.75,0.21,0.06,693559.0,0.01,0.14,2.99,0.07,0.01,,,,,,
me04-072,Minccino,072,Common,,2026-07-07T18:05:10.032Z,EUR,886464,0.03,0.02,0.02,0.02,0.03,0.03,0.09,0.02,0.1,0.11,0.1,0.1,2026-07-07T18:05:06.951Z,USD,693525.0,0.01,0.25,25.0,0.24,0.1,693525.0,0.01,0.17,2.99,0.13,0.01,,,,,,
me04-073,Cinccino ex,073,Double rare,,2026-07-07T18:05:09.149Z,EUR,886465,0.46,0.03,0.43,0.38,0.44,0.46,,,0.0,,,,2026-07-07T18:05:06.951Z,USD,,,,,,,,,,,,,693463.0,0.13,0.75,4321.0,0.58,1.0
me04-074,Adversity Policy,074,Uncommon,,2026-07-07T18:05:10.032Z,EUR,886466,0.03,0.02,0.03,0.03,0.03,0.03,0.09,0.02,0.1,0.16,0.1,0.09,2026-07-07T18:05:06.951Z,USD,693444.0,0.01,0.25,2.75,0.28,0.1,693444.0,0.01,0.12,1.99,0.12,0.01,,,,,,
me04-075,Ange Floette,075,Uncommon,,2026-07-07T18:05:09.041Z,EUR,886467,0.03,0.02,0.03,0.02,0.03,0.03,0.08,0.02,0.08,0.1,0.08,0.08,2026-07-07T18:05:06.951Z,USD,693447.0,0.01,0.23,2.99,0.21,0.07,693447.0,0.01,0.15,7.0,0.13,0.01,,,,,,
me04-076,AZ's Tranquility,076,Uncommon,,2026-07-07T18:05:09.041Z,EUR,886468,0.05,0.02,0.05,0.04,0.05,0.05,0.11,0.02,0.12,0.13,0.13,0.11,2026-07-07T18:05:06.951Z,USD,693449.0,0.01,0.25,3.99,0.24,0.17,693449.0,0.01,0.15,2.99,0.09,0.01,,,,,,
me04-077,Emma,077,Uncommon,,2026-07-07T18:05:09.149Z,EUR,886470,0.03,0.02,0.03,0.02,0.03,0.03,0.08,0.02,0.11,0.25,0.09,0.08,2026-07-07T18:05:06.951Z,USD,693479.0,0.01,0.21,2.99,0.22,0.17,693479.0,0.01,0.15,2.99,0.11,0.01,,,,,,
me04-078,Great Haul Net,078,Uncommon,,2026-07-07T18:05:09.149Z,EUR,886469,0.05,0.02,0.04,0.04,0.05,0.05,0.11,0.02,0.11,0.21,0.13,0.11,2026-07-07T18:05:06.951Z,USD,693499.0,0.01,0.25,2.99,0.24,0.09,693499.0,0.01,0.17,2.99,0.16,0.05,,,,,,
me04-079,Philippe,079,Uncommon,,2026-07-07T18:05:09.041Z,EUR,886471,0.04,0.02,0.05,0.02,0.05,0.04,0.1,0.02,0.08,0.11,0.1,0.1,2026-07-07T18:05:06.951Z,USD,693532.0,0.01,0.23,2.99,0.19,0.06,693532.0,0.01,0.15,1.99,0.07,0.01,,,,,,
