id,name,localId,rarity,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_updated,tp_unit,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice
me05-068,Toucannon,68,Uncommon,2026-07-20T08:03:04.265Z,EUR,895852,0.14,0.02,0.16,0.06,0.09,0.1,,0.02,0.24,0.16,0.27,0.27,2026-07-20T08:03:02.229Z,USD,704825.0,0.01,0.17,1.67,0.12,704825.0,0.03,0.2,1.67,0.17,,,,,
me05-069,Type: Null,69,Common,2026-07-18T08:02:59.776Z,EUR,895853,0.02,0.02,0.08,0.02,0.02,0.02,,0.04,0.23,0.05,0.05,0.05,2026-07-18T08:02:56.983Z,USD,704826.0,0.01,0.18,1.68,0.07,704826.0,0.05,0.2,100.0,0.1,,,,,
me05-069,Type: Null,69,Common,2026-07-19T08:03:04.658Z,EUR,895853,0.02,0.02,0.07,0.02,0.02,0.02,,0.02,0.19,0.05,0.05,0.05,2026-07-19T08:03:02.366Z,USD,704826.0,0.01,0.15,100.0,0.05,704826.0,0.05,0.2,100.0,0.1,,,,,
me05-069,Type: Null,69,Common,2026-07-20T08:03:04.811Z,EUR,895853,0.02,0.02,0.06,0.03,0.04,0.04,,0.02,0.15,0.12,0.16,0.16,2026-07-20T08:03:02.229Z,USD,704826.0,0.01,0.15,1.65,0.05,704826.0,0.03,0.19,100.0,0.12,,,,,
me05-070,Silvally,70,Rare,2026-07-18T08:02:59.776Z,EUR,895854,0.02,0.02,0.31,0.04,0.03,0.03,,0.05,0.5,,,,2026-07-18T08:02:56.983Z,USD,,,,,,704827.0,0.09,0.32,2.49,0.27,704827.0,0.03,0.22,2.99,0.11
me05-070,Silvally,70,Rare,2026-07-19T08:03:04.658Z,EUR,895854,0.02,0.02,0.26,0.04,0.03,0.03,,0.02,0.32,,,,2026-07-19T08:03:02.366Z,USD,,,,,,704827.0,0.08,0.27,2.49,0.23,704827.0,0.02,0.19,2.99,0.1
me05-070,Silvally,70,Rare,2026-07-20T08:03:04.265Z,EUR,895854,0.02,0.02,0.23,0.14,0.13,0.13,,0.02,0.26,0.19,0.2,0.2,2026-07-20T08:03:02.229Z,USD,,,,,,704827.0,0.09,0.25,2.49,0.18,704827.0,0.01,0.16,1.66,0.08
me05-071,Bombirdier,71,Common,2026-07-18T08:02:59.361Z,EUR,895855,0.02,0.02,0.04,0.05,0.04,0.04,,0.04,0.15,0.04,0.04,0.04,2026-07-18T08:02:56.983Z,USD,704828.0,0.01,0.27,10.0,0.16,704828.0,0.04,0.2,5.0,0.09,,,,,
me05-071,Bombirdier,71,Common,2026-07-19T08:03:04.658Z,EUR,895855,0.02,0.02,0.04,0.05,0.04,0.04,,0.03,0.13,0.04,0.04,0.04,2026-07-19T08:03:02.366Z,USD,704828.0,0.01,0.19,100.0,0.04,704828.0,0.03,0.17,5.0,0.07,,,,,
me05-071,Bombirdier,71,Common,2026-07-20T08:03:04.811Z,EUR,895855,0.02,0.02,0.04,0.02,0.03,0.03,,0.03,0.12,0.07,0.09,0.09,2026-07-20T08:03:02.229Z,USD,704828.0,0.01,0.15,10.0,0.04,704828.0,0.03,0.17,5.0,0.08,,,,,
